	qid	docid
957	914	132780
958	914	166977
959	915	550808
960	916	165025
961	917	379233
962	918	493312
963	919	72984
964	920	166245
965	922	353120
966	923	105707
967	923	80269
968	923	247709
969	923	267667
970	923	361126
971	923	317902
972	923	350332
973	923	503942
974	924	492456
975	925	470513
976	926	347109
977	927	444145
978	928	349866
979	928	11572
980	929	367754
981	930	401111
982	930	502223
983	931	52250
984	931	26397
985	932	48722
986	932	387010
987	933	517345
988	934	249106
989	934	125288
990	934	251258
991	934	442293
992	935	140990
993	935	422938
994	937	295509
995	937	380165
996	938	599496
997	939	392434
998	941	295203
999	941	456636
1000	942	102002
1001	943	351159
1002	943	194159
1003	943	365187
1004	944	418630
1005	945	352052
1006	946	386278
1007	947	194682
1008	948	280788
1009	948	297938
1010	948	470066
1011	949	226090
1012	950	588345
1013	950	264425
1014	950	495417
1015	951	428127
1016	952	86262
1017	953	383172
1018	954	291847
1019	954	282770
1020	955	556558
1021	956	453263
1022	957	446870
1023	957	321500
1024	957	540334
1025	958	190135
1026	958	389032
1027	958	368587
1028	958	279588
1029	961	248629
1030	962	502567
1031	966	77488
1032	966	15676
1033	967	272940
1034	968	490630
1035	969	413534
1036	969	297427
1037	969	573821
1038	970	26492
1039	970	571097
1040	971	527489
1041	972	464280
1042	972	58741
1043	972	197846
1044	973	68486
1045	974	426076
1046	974	466317
1047	975	533613
1048	975	292490
1049	976	40312
1050	977	37662
1051	977	372051
1052	977	361689
1053	978	503034
1054	978	122908
1055	980	560776
1056	981	323389
1057	983	72375
1058	984	67904
1059	984	138985
1060	984	377335
1061	985	511240
1062	985	505673
1063	986	122030
1064	987	296750
1065	988	226053
1066	988	107688
1067	989	1642
1068	991	485949
1069	995	231719
1070	995	63047
1071	996	204541
1072	1001	468733
1073	1003	368233
1074	1003	133388
1075	1003	566830
1076	1012	14609
1077	1019	193396
1078	1021	149669
1079	1021	494815
1080	1021	487861
1081	1021	223103
1082	1022	218498
1083	1028	61768
1084	1029	406561
1085	1030	158058
1086	1031	568043
1087	1032	75762
1088	1032	570046
1089	1032	248235
1090	1041	289833
1091	1041	480992
1092	1043	178001
1093	1043	520597
1094	1043	21957
1095	1043	540527
1096	1044	42558
1097	1044	96008
1098	1044	599003
1099	1046	518526
1100	1046	35557
1101	1053	243949
1102	1054	115197
1103	1055	496370
1104	1064	226102
1105	1064	144181
1106	1064	114886
1107	1072	572396
1108	1073	106684
1109	1074	443960
1110	1075	438392
1111	1076	586455
1112	1077	428730
1113	1077	289464
1114	1077	473878
1115	1077	422225
1116	1077	294899
1117	1077	516050
1118	1077	148423
1119	1078	594653
1120	1079	384892
1121	1080	158091
1122	1081	11569
1123	1082	174714
1124	1083	226976
1125	1083	593554
1126	1083	313310
1127	1084	518949
1128	1085	467737
1129	1085	393710
1130	1086	97636
1131	1086	62869
1132	1087	578196
1133	1090	518896
1134	1090	203091
1135	1092	386994
1136	1092	466778
1137	1092	439959
1138	1092	484658
1139	1092	279229
1140	1092	107152
1141	1093	121621
1142	1093	359465
1143	1093	65407
1144	1093	285502
1145	1093	59687
1146	1093	261024
1147	1093	415745
1148	1093	484382
1149	1093	99679
1150	1094	62047
1151	1098	84996
1152	1099	433646
1153	1100	441632
1154	1100	38532
1155	1101	411375
1156	1101	502514
1157	1101	388696
1158	1101	9243
1159	1101	216108
1160	1102	37725
1161	1102	584218
1162	1102	524788
1163	1102	392124
1164	1103	495827
1165	1104	141331
1166	1104	553328
1167	1105	245654
1168	1105	42625
1169	1106	415179
1170	1107	330890
1171	1108	430728
1172	1109	115584
1173	1110	100936
1174	1110	5298
1175	1110	322428
1176	1111	262589
1177	1112	43049
1178	1113	454265
1179	1113	51725
1180	1114	474057
1181	1114	185681
1182	1115	256448
1183	1116	242501
1184	1117	327997
1185	1117	177050
1186	1118	335667
1187	1119	136850
1188	1120	51203
1189	1120	23121
1190	1120	391715
1191	1120	271129
1192	1121	420810
1193	1121	562220
1194	1121	424053
1195	1121	294191
1196	1121	483220
1197	1121	217473
1198	1121	453948
1199	1121	553652
1200	1121	403480
1201	1122	21699
1202	1122	30912
1203	1123	2528
1204	1125	147624
1205	1125	63919
1206	1125	543114
1207	1126	143862
1208	1127	225030
1209	1127	491600
1210	1128	442146
1211	1129	222726
1212	1130	336917
1213	1130	247473
1214	1131	367577
1215	1132	580240
1216	1133	310207
1217	1134	365721
1218	1134	153452
1219	1135	479548
1220	1136	263259
1221	1137	88508
1222	1137	252942
1223	1137	234506
1224	1137	232388
1225	1137	126065
1226	1139	469270
1227	1140	119051
1228	1141	218747
1229	1141	417751
1230	1142	500744
1231	1146	445306
1232	1147	437706
1233	1147	135005
1234	1147	531051
1235	1147	317419
1236	1147	88597
1237	1147	564796
1238	1148	246547
1239	1148	390015
1240	1148	110465
1241	1148	170867
1242	1148	513606
1243	1148	32057
1244	1149	278077
1245	1150	531698
1246	1150	43603
1247	1150	353369
1248	1150	19936
1249	1153	163199
1250	1154	88973
1251	1154	165364
1252	1154	516103
1253	1155	509318
1254	1156	496959
1255	1157	272425
1256	1157	405777
1257	1158	480005
1258	1159	496064
1259	1160	554293
1260	1160	306180
1261	1161	168139
1262	1161	109424
1263	1162	92819
1264	1163	285449
1265	1164	567383
1266	1165	442142
1267	1165	91882
1268	1166	53200
1269	1167	345942
1270	1169	293628
1271	1169	589429
1272	1170	65875
1273	1170	239512
1274	1170	481555
1275	1171	461290
1276	1171	250564
1277	1177	386305
1278	1177	225282
1279	1177	584304
1280	1177	482310
1281	1178	542649
1282	1178	8063
1283	1178	467511
1284	1178	444540
1285	1178	426343
1286	1181	541809
1287	1185	503651
1288	1188	526664
1289	1188	538238
1290	1189	476980
1291	1189	420846
1292	1190	354716
1293	1191	519473
1294	1194	300418
1295	1196	400947
1296	1196	263659
1297	1196	335435
1298	1196	374049
1299	1196	445314
1300	1196	408027
1301	1196	420436
1302	1197	365689
1303	1197	242923
1304	1198	56718
1305	1199	88967
1306	1204	144079
1307	1204	481978
1308	1204	540911
1309	1210	297467
1310	1210	256006
1311	1215	338096
1312	1224	94630
1313	1224	76049
1314	1230	191649
1315	1232	482594
1316	1232	380773
1317	1232	575007
1318	1232	529265
1319	1232	106167
1320	1232	590632
1321	1232	450779
1322	1232	99465
1323	1232	325633
1324	1232	440019
1325	1232	95952
1326	1232	424274
1327	1232	127339
1328	1232	281823
1329	1244	205229
1330	1246	193850
1331	1246	329450
1332	1246	160922
1333	1246	402230
1334	1248	182989
1335	1249	386818
1336	1249	471327
1337	1249	203820
1338	1253	454465
1339	1258	397367
1340	1264	479426
1341	1264	226831
1342	1264	63276
1343	1264	94710
1344	1264	25205
1345	1264	418771
1346	1265	585722
1347	1265	343379
1348	1266	439460
1349	1266	451020
1350	1266	196374
1351	1267	153377
1352	1271	307688
1353	1272	567161
1354	1273	383238
1355	1273	304179
1356	1273	325371
1357	1274	591909
1358	1275	537930
1359	1275	30250
1360	1275	140533
1361	1277	547941
1362	1278	385474
1363	1278	229964
1364	1278	160198
1365	1278	514939
1366	1278	171565
1367	1278	498666
1368	1278	146298
1369	1278	539287
1370	1278	332916
1371	1279	595121
1372	1280	156662
1373	1281	361415
1374	1282	74560
1375	1283	189391
1376	1284	342411
1377	1285	117685
1378	1285	92504
1379	1285	415973
1380	1285	522723
1381	1289	384192
1382	1291	260848
1383	1291	260385
1384	1291	458079
1385	1293	32280
1386	1295	559671
1387	1295	254783
1388	1295	313248
1389	1296	79220
1390	1296	475270
1391	1296	481810
1392	1297	171761
1393	1298	323145
1394	1298	507739
1395	1299	458750
1396	1299	514969
1397	1299	443896
1398	1299	360011
1399	1299	573677
1400	1299	485984
1401	1299	453915
1402	1300	598834
1403	1300	171489
1404	1301	522619
1405	1302	347198
1406	1302	539208
1407	1302	327177
1408	1302	481194
1409	1303	566041
1410	1304	60446
1411	1305	584419
1412	1306	594206
1413	1306	484437
1414	1306	204075
1415	1306	167684
1416	1307	70724
1417	1307	162589
1418	1308	257703
1419	1308	239769
1420	1309	471630
1421	1309	156162
1422	1309	489401
1423	1309	438869
1424	1310	535651
1425	1311	71987
1426	1311	256972
1427	1312	560195
1428	1312	503742
1429	1312	167896
1430	1312	383921
1431	1312	528206
1432	1312	422331
1433	1313	536497
1434	1315	252273
1435	1315	193251
1436	1318	588211
1437	1318	423639
1438	1320	362462
1439	1320	18355
1440	1320	307008
1441	1320	115134
1442	1320	333916
1443	1321	216456
1444	1321	292065
1445	1322	399418
1446	1322	114231
1447	1322	115552
1448	1322	64138
1449	1323	475497
1450	1323	124860
1451	1323	41094
1452	1323	237607
1453	1323	149482
1454	1323	5836
1455	1323	442625
1456	1323	60688
1457	1324	256010
1458	1324	398206
1459	1324	108433
1460	1324	477851
1461	1324	416787
1462	1325	221431
1463	1327	528661
1464	1327	501230
1465	1328	115561
1466	1329	62966
1467	1330	241136
1468	1330	87324
1469	1332	85368
1470	1332	147163
1471	1332	344236
1472	1332	361741
1473	1337	245011
1474	1337	132371
1475	1339	546779
1476	1339	226751
1477	1339	371192
1478	1339	20432
1479	1339	496272
1480	1342	176424
1481	1342	297391
1482	1342	47923
1483	1342	336387
1484	1342	241708
1485	1342	140067
1486	1347	439109
1487	1352	57557
1488	1353	576185
1489	1358	386481
1490	1359	98079
1491	1360	439540
1492	1361	432545
1493	1361	120438
1494	1362	236612
1495	1363	216892
1496	1365	373501
1497	1365	138505
1498	1366	82140
1499	1366	95559
1500	1367	284173
1501	1367	18373
1502	1367	184924
1503	1367	119513
1504	1367	463829
1505	1368	153383
1506	1369	334391
1507	1369	501973
1508	1369	307117
1509	1369	585797
1510	1369	244405
1511	1369	448759
1512	1369	520763
1513	1369	562336
1514	1370	504599
1515	1371	141458
1516	1372	439248
1517	1372	420295
1518	1372	318111
1519	1373	257417
1520	1373	350497
1521	1373	568667
1522	1373	162523
1523	1376	267727
1524	1376	519425
1525	1376	14951
1526	1376	210878
1527	1385	78486
1528	1387	588253
1529	1387	241030
1530	1388	42924
1531	1388	472824
1532	1391	266229
1533	1391	562176
1534	1391	440745
1535	1392	488916
1536	1392	400983
1537	1392	212988
1538	1392	407551
1539	1392	572351
1540	1392	493438
1541	1392	420379
1542	1392	266944
1543	1392	435125
1544	1393	220022
1545	1393	589398
1546	1393	532932
1547	1393	352838
1548	1393	539133
1549	1393	352640
1550	1394	62653
1551	1394	167322
1552	1394	180362
1553	1394	408546
1554	1394	131788
1555	1394	381665
1556	1394	186184
1557	1394	444829
1558	1394	94729
1559	1394	460196
1560	1395	503047
1561	1395	72372
1562	1397	473641
1563	1397	415408
1564	1397	230467
1565	1397	58035
1566	1399	483942
1567	1399	140428
1568	1400	331384
1569	1400	185384
1570	1402	216077
1571	1404	576873
1572	1404	334902
1573	1407	425487
1574	1407	400532
1575	1408	391463
1576	1408	188167
1577	1412	592192
1578	1412	285024
1579	1412	175768
1580	1415	387165
1581	1415	306144
1582	1415	66246
1583	1415	393953
1584	1416	326717
1585	1417	303501
1586	1417	447509
1587	1418	401254
1588	1419	378075
1589	1419	507777
1590	1419	288409
1591	1419	401939
1592	1419	24029
1593	1421	296475
1594	1421	367873
1595	1422	475955
1596	1422	144739
1597	1422	551029
1598	1422	407372
1599	1423	68275
1600	1423	105527
1601	1423	529459
1602	1425	194319
1603	1425	131335
1604	1425	472500
1605	1426	310612
1606	1426	532743
1607	1428	36193
1608	1431	129272
1609	1433	58426
1610	1437	471686
1611	1437	50310
1612	1438	203905
1613	1438	185282
1614	1438	583956
1615	1439	407313
1616	1439	304009
1617	1439	28974
1618	1439	80655
1619	1440	376467
1620	1440	355558
1621	1440	365372
1622	1441	178
1623	1441	414940
1624	1441	416727
1625	1441	471123
1626	1443	436505
1627	1443	245122
1628	1443	124507
1629	1443	582955
1630	1446	218460
1631	1446	133701
1632	1446	552747
1633	1447	18570
1634	1447	452896
1635	1447	102995
1636	1449	336017
1637	1449	287348
1638	1449	464263
1639	1449	54424
1640	1449	211908
1641	1449	545964
1642	1449	173883
1643	1449	508489
1644	1451	538005
1645	1452	171054
1646	1452	515690
1647	1456	26508
1648	1456	483664
1649	1456	12906
1650	1460	158008
1651	1460	159460
1652	1460	453299
1653	1460	251561
1654	1460	26996
1655	1460	277964
1656	1461	468717
1657	1461	31244
1658	1461	350110
1659	1461	516561
1660	1461	118960
1661	1461	226197
1662	1461	564396
1663	1461	48227
1664	1461	482739
1665	1461	592891
1666	1463	243886
1667	1463	24385
1668	1464	119316
1669	1464	160275
1670	1465	280435
1671	1466	9390
1672	1466	15731
1673	1466	466888
1674	1469	444589
1675	1470	237323
1676	1470	460058
1677	1471	86134
1678	1472	452338
1679	1472	517279
1680	1472	8321
1681	1472	18750
1682	1472	365763
1683	1472	343837
1684	1474	153505
1685	1474	471872
1686	1474	323015
1687	1474	264857
1688	1474	179631
1689	1475	280021
1690	1476	100867
1691	1476	54341
1692	1476	348735
1693	1476	310488
1694	1476	33157
1695	1476	293651
1696	1477	193529
1697	1477	271436
1698	1477	510181
1699	1481	341652
1700	1481	233988
1701	1481	563405
1702	1481	172691
1703	1483	173212
1704	1483	11539
1705	1483	206466
1706	1484	204169
1707	1484	535314
1708	1484	135411
1709	1484	409133
1710	1484	77503
1711	1484	483385
1712	1484	213399
1713	1484	88400
1714	1484	567552
1715	1485	54333
1716	1485	422697
1717	1485	110102
1718	1485	595765
1719	1485	131761
1720	1485	214358
1721	1489	81843
1722	1489	40854
1723	1489	256505
1724	1489	524242
1725	1489	532804
1726	1489	447922
1727	1490	592796
1728	1492	231677
1729	1492	546239
1730	1493	189678
1731	1493	189824
1732	1493	10849
1733	1493	575649
1734	1493	156756
1735	1493	453624
1736	1493	141425
1737	1493	528363
1738	1493	440696
1739	1494	468741
1740	1495	533537
1741	1495	514876
1742	1495	238360
1743	1505	172778
1744	1505	585494
1745	1505	222153
1746	1505	201415
1747	1505	393104
1748	1505	284805
1749	1505	269918
1750	1505	121160
1751	1505	426591
1752	1505	444234
1753	1505	487348
1754	1505	405344
1755	1505	592654
1756	1505	200477
1757	1505	326019
1758	1505	9597
1759	1505	44574
1760	1505	328770
1761	1505	34537
1762	1505	302315
1763	1505	207914
1764	1505	264053
1765	1505	192669
1766	1506	287693
1767	1506	161676
1768	1506	336093
1769	1506	121866
1770	1506	48087
1771	1506	301817
1772	1506	131842
1773	1506	380053
1774	1506	230074
1775	1506	594175
1776	1508	41214
1777	1519	310190
1778	1523	299002
1779	1523	146388
1780	1530	28764
1781	1530	313361
1782	1530	219425
1783	1531	350839
